,FixID,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration,Fixation Dispersion,Paragraph1,Paragraph2,Paragraph3,Paragraph4,Paragraph5,Paragraph6,Text_Area,SubFigure1,SubFigure2,SubFigure3,Figure,Formula
101,102.0,1688.4916,227.0375,174935.643,175318.9462,383.3031,0.3114,0,0,0,0,0,0,0,0,0,0,0,1
102,103.0,1728.307,227.4751,175377.2958,176577.1822,1199.8863,0.3714,0,0,0,0,0,0,0,0,0,0,0,1
103,104.0,1704.4375,246.0,176593.7939,176660.4826,66.6887,0.1117,0,0,0,0,0,0,0,0,0,0,0,1
104,105.0,1720.5624,219.1902,176743.8147,177093.7353,349.9206,0.2485,0,0,0,0,0,0,0,0,0,0,0,1
105,106.0,1630.75,238.7833,177135.4005,177393.7066,258.3061,0.2301,0,0,0,0,0,0,0,0,0,0,0,1
106,107.0,1394.9391,282.8601,177818.6762,178068.6639,249.9878,0.298,0,0,0,0,0,0,0,0,0,0,0,1
107,108.0,1465.4287,279.3131,178076.9789,178368.6086,291.6296,0.2793,0,0,0,0,0,0,0,0,0,0,0,1
108,109.0,1680.3911,231.6523,178410.2818,178676.9346,266.6527,0.2998,0,0,0,0,0,0,0,0,0,0,0,1
109,110.0,1636.3668,258.6385,178685.2438,179093.5276,408.2838,0.2195,0,0,0,0,0,0,0,0,0,0,0,1
110,111.0,1682.4412,257.2124,179110.1939,179418.4828,308.2889,0.2558,0,0,0,0,0,0,0,0,0,0,0,1
111,112.0,1710.8198,257.2723,179443.4955,179801.7991,358.3035,0.2067,0,0,0,0,0,0,0,0,0,0,0,1
112,113.0,1720.2227,253.7372,179885.1039,180368.3974,483.2936,0.3035,0,0,0,0,0,0,0,0,0,0,0,1
113,114.0,1489.0996,294.6995,180535.0525,180618.3598,83.3073,0.2246,0,0,0,0,0,0,0,0,0,0,0,1
114,115.0,1264.1938,447.8441,180660.07100000003,180810.0106,149.9396,0.2742,0,0,0,0,0,0,0,1,0,0,1,0
115,116.0,1244.9418,609.8527,180843.3272,181068.2972,224.97,0.2797,0,0,0,0,0,0,0,1,0,0,1,0
116,117.0,1316.776,674.0862,181184.9511,181434.9256,249.9746,0.2699,0,0,0,0,0,0,0,1,0,0,1,0
117,118.0,1266.3305,594.7003,181484.9604,181601.6388,116.6784,0.2601,0,0,0,0,0,0,0,1,0,0,1,0
118,119.0,1238.1233,608.7515,181684.9022,181809.8808,124.9786,0.3999,0,0,0,0,0,0,0,1,0,0,1,0
119,120.0,1213.5225,627.5129,181818.2135,182034.8761,216.6626,0.315,0,0,0,0,0,0,0,1,0,0,1,0
120,121.0,1199.4056,665.4338,182068.1859,182351.4997,283.3138,0.3248,0,0,0,0,0,0,0,1,0,0,1,0
121,122.0,1249.1555,590.1928,182434.8239,182676.4706,241.6467,0.2586,0,0,0,0,0,0,0,1,0,0,1,0
122,123.0,1296.677,607.2402,182709.8538,183034.76899999997,324.9152,0.3124,0,0,0,0,0,0,0,1,0,0,1,0
123,124.0,1212.9786,612.2521,183068.0758,183334.7162,266.6405,0.2856,0,0,0,0,0,0,0,1,0,0,1,0
124,125.0,1295.3765,616.9981,183368.1415,183484.695,116.5535,0.1989,0,0,0,0,0,0,0,1,0,0,1,0
125,126.0,1297.151,628.2205,183584.6995,183734.7231,150.0236,0.2175,0,0,0,0,0,0,0,1,0,0,1,0
126,127.0,1339.9999,647.2002,183834.7046,183951.3671,116.6624,0.2449,0,0,0,0,0,0,0,1,0,0,1,0
127,128.0,1638.625,235.4167,184067.9929,184167.9545,99.9616,0.235,0,0,0,0,0,0,0,0,0,0,0,1
128,129.0,1729.5203,208.3379,184226.2909,184334.6726,108.3816,0.2219,0,0,0,0,0,0,0,0,0,0,0,1
129,130.0,1735.1002,238.0099,184351.3188,184634.5978,283.279,0.3548,0,0,0,0,0,0,0,0,0,0,0,1
130,131.0,1757.5,251.4375,184651.3383,184717.9225,66.5842,0.1396,0,0,0,0,0,0,0,0,0,0,0,1
131,132.0,1712.7743,233.9464,184726.2596,185259.5033,533.2436,0.4141,0,0,0,0,0,0,0,0,0,0,0,1
132,133.0,1671.6466,232.1679,185401.2109,185942.7812,541.5703,0.4063,0,0,0,0,0,0,0,0,0,0,0,1
133,134.0,1720.1656,236.852,185959.4212,186734.4401,775.0189,0.3831,0,0,0,0,0,0,0,0,0,0,0,1
134,135.0,1247.625,569.3125,186850.9903,186984.3081,133.3178,0.3036,0,0,0,0,0,0,0,1,0,0,1,0
135,136.0,1323.4136,656.5146,187459.2867,187534.3079,75.0212,0.1845,0,0,0,0,0,0,0,1,0,0,1,0
136,137.0,1322.1405,663.2539999999999,187800.9948,187934.2639,133.2692,0.212,0,0,0,0,0,0,0,1,0,0,1,0
137,138.0,1332.0964,662.5214,188017.52800000002,188259.1693,241.6413,0.2224,0,0,0,0,0,0,0,1,0,0,1,0
138,139.0,1671.1878,247.1249,188350.9016,188517.5426,166.641,0.2124,0,0,0,0,0,0,0,0,0,0,0,1
139,140.0,1727.889,237.7794,188534.2359,188892.5388,358.3029,0.3582,0,0,0,0,0,0,0,0,0,0,0,1
140,141.0,1629.4799,228.0397,188909.0972,189142.4502,233.35299999999998,0.3283,0,0,0,0,0,0,0,0,0,0,0,1
141,142.0,1525.7105,245.7105,189159.1225,189317.3838,158.2613,0.1486,0,0,0,0,0,0,0,0,0,0,0,1
142,143.0,1567.0529999999999,229.6328,189334.05399999997,189450.7617,116.7077,0.1762,0,0,0,0,0,0,0,0,0,0,0,1
143,144.0,1246.6666,612.1679,189975.6682,190075.65399999998,99.9858,0.1047,0,0,0,0,0,0,0,1,0,0,1,0
144,145.0,1238.7153,508.9997,190425.6102,190508.9241,83.3139,0.1397,0,0,0,0,0,0,0,1,0,0,1,0
145,146.0,1240.5847,387.0962,190758.905,191025.5376,266.6326,0.2272,0,0,0,0,0,0,0,1,0,0,1,0
146,147.0,1304.9878,382.0327,191125.5281,191442.1548,316.6267,0.2432,0,0,0,0,0,0,0,0,0,0,1,0
147,148.0,1436.3369,384.2373,191467.1919,191817.1231,349.9312,0.3054,0,0,0,0,0,0,0,0,1,0,1,0
148,149.0,1527.3269,379.7282,191917.1303,192175.4037,258.2734,0.2678,0,0,0,0,0,0,0,0,0,0,1,0
149,150.0,1489.868,395.3364,192250.4098,192425.3733,174.9634,0.2582,0,0,0,0,0,0,0,0,1,0,1,0
150,151.0,1288.704,415.7946,192517.0479,192775.3342,258.2863,0.2868,0,0,0,0,0,0,0,1,0,0,1,0
151,152.0,1246.7177,537.5702,192883.6886,192975.3137,91.6251,0.2024,0,0,0,0,0,0,0,1,0,0,1,0
152,153.0,1267.3472,501.9654,193150.3185,193375.27300000002,224.9545,0.131,0,0,0,0,0,0,0,1,0,0,1,0
153,154.0,1306.1683,551.8375,193408.6462,193691.9746,283.3284,0.2165,0,0,0,0,0,0,0,1,0,0,1,0
154,155.0,1251.2864,483.6457,193975.2317,194116.8766,141.6449,0.1833,0,0,0,0,0,0,0,1,0,0,1,0
155,156.0,1286.0456,617.7983,194741.7872,194983.4447,241.6576,0.4305,0,0,0,0,0,0,0,1,0,0,1,0
156,157.0,1257.7554,412.5201,195016.7626,195325.0526,308.29,0.2112,0,0,0,0,0,0,0,1,0,0,1,0
157,158.0,1252.7078,450.1846,195425.0433,195700.0642,275.0209,0.2961,0,0,0,0,0,0,0,1,0,0,1,0
158,159.0,1241.8261,383.9903,195750.0064,196024.9994,274.993,0.2612,0,0,0,0,0,0,0,1,0,0,1,0
159,160.0,1294.6105,387.7321,196033.3629,196349.9728,316.6099,0.2234,0,0,0,0,0,0,0,1,0,0,1,0
160,161.0,1328.0789,392.5263,196374.9549,196533.2837,158.3288,0.1162,0,0,0,0,0,0,0,1,0,0,1,0
161,162.0,1245.6403,437.6269,197274.8599,197641.479,366.6191,0.3188,0,0,0,0,0,0,0,1,0,0,1,0
