Respondent,VisitedAOI,Dwell Start,Dwell End,Number of Fixations in Dwell,Number of Saccades in Dwell,Dwell Time
Anonymous 14-11-22 09h35m,Paragraph2,137776.1776,137851.1826,1.0,0.0,75.00500000000466
Anonymous 14-11-22 09h35m,Paragraph4,138017.8214,142742.3276,14.0,48.0,4724.506200000003
Anonymous 14-11-22 09h35m,Paragraph4,142908.9593,144908.7237,8.0,16.0,1999.7644000000146
Anonymous 14-11-22 09h35m,Paragraph2,145192.0321,145308.6765,0.0,2.0,116.64439999999013
Anonymous 14-11-22 09h35m,Paragraph4,145508.7056,148641.6666,8.0,20.0,3132.9610000000102
Anonymous 14-11-22 09h35m,SubFigure1,148716.641,148841.6477,1.0,0.0,125.00669999999809
Anonymous 14-11-22 09h35m,Figure,148716.641,148841.6477,1.0,0.0,125.00669999999809
Anonymous 14-11-22 09h35m,Paragraph4,148899.9677,154632.6589,17.0,25.0,5732.691200000001
Anonymous 14-11-22 09h35m,Text_Area,148899.9677,156590.763,22.0,33.0,7690.795299999998
Anonymous 14-11-22 09h35m,Paragraph4,154716.0602,156590.763,5.0,7.0,1874.7027999999991
Anonymous 14-11-22 09h35m,SubFigure2,156699.0995,156715.8123,0.0,1.0,16.712799999979325
Anonymous 14-11-22 09h35m,Figure,156699.0995,157890.645,5.0,9.0,1191.5454999999783
Anonymous 14-11-22 09h35m,SubFigure1,156774.1048,156790.778,0.0,1.0,16.673199999990175
Anonymous 14-11-22 09h35m,SubFigure1,156907.3929,157674.001,3.0,5.0,766.6080999999831
Anonymous 14-11-22 09h35m,SubFigure2,157682.3251,157890.645,1.0,2.0,208.31990000000224
Anonymous 14-11-22 09h35m,Figure,158057.2824,158207.2914,1.0,1.0,150.00899999999092
Anonymous 14-11-22 09h35m,SubFigure2,158090.6053,158207.2914,1.0,0.0,116.68609999999171
Anonymous 14-11-22 09h35m,Figure,158223.9294,158290.616,0.0,1.0,66.68660000001546
Anonymous 14-11-22 09h35m,Text_Area,158307.2485,159598.7619,6.0,11.0,1291.5134000000253
Anonymous 14-11-22 09h35m,Paragraph3,159132.148,159265.4629,0.0,2.0,133.31490000002668
Anonymous 14-11-22 09h35m,Paragraph2,159332.1459,159598.7619,1.0,2.0,266.6160000000091
Anonymous 14-11-22 09h35m,Figure,159598.7619,159657.1045,0.0,1.0,58.34259999997448
Anonymous 14-11-22 09h35m,Formula,159807.1007,159815.4526,0.0,1.0,8.35189999997965
Anonymous 14-11-22 09h35m,Figure,160340.355,160357.0104,0.0,1.0,16.65539999998873
Anonymous 14-11-22 09h35m,Formula,160407.0112,160482.0132,1.0,0.0,75.00199999997858
Anonymous 14-11-22 09h35m,Paragraph2,160590.3417,160715.3645,1.0,1.0,125.0228000000061
Anonymous 14-11-22 09h35m,Text_Area,160590.3417,161381.9282,3.0,5.0,791.5865000000049
Anonymous 14-11-22 09h35m,Paragraph3,160856.9702,161381.9282,2.0,3.0,524.9579999999842
Anonymous 14-11-22 09h35m,Formula,161631.885,161640.2031,0.0,1.0,8.318100000004051
Anonymous 14-11-22 09h35m,SubFigure1,161890.2081,161915.1913,0.0,1.0,24.98320000001695
